Domain,Timestamp,Response Status,Response Time,Addresses
1691070024.957152,google.com,222.177490234375,1,['142.250.219.142']
1691070025.1794653,a-msedge.net,200.33935546875,1,[]
1691070025.3799427,facebook.com,10262.801025390625,1,"[';; Connection to 149.112.112.112#443(149.112.112.112) for facebook.com failed: timed out.', '157.240.222.35']"
1691070035.642868,microsoft.com,140.12109375,1,"['20.231.239.246', '20.236.44.162', '20.112.250.133', '20.70.246.20', '20.76.201.171']"
1691070035.7831028,amazonaws.com,196.335693359375,1,"['207.171.166.22', '72.21.206.80', '72.21.210.29']"
1691070035.9795246,googleapis.com,110.8095703125,1,['142.251.129.36']
1691070036.0904207,apple.com,143.14697265625,1,['17.253.144.10']
1691070036.2336829,youtube.com,193.345703125,1,['142.251.129.142']
1691070036.4271643,akamaiedge.net,195.083740234375,1,[]
1691070036.6223464,netflix.com,155.782470703125,1,"['52.3.144.142', '54.237.226.164', '3.230.129.93']"
