Domain,Timestamp,Response Status,Response Time,Addresses
1691070012.5249646,google.com,192.615478515625,1,['142.251.128.142']
1691070012.7176626,a-msedge.net,199.96826171875,1,[]
1691070012.9177651,facebook.com,173.19580078125,1,['31.13.85.36']
1691070013.0910404,microsoft.com,10232.238037109375,1,"[';; Connection to 8.8.8.8#443(8.8.8.8) for microsoft.com failed: timed out.', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162']"
1691070023.323775,amazonaws.com,350.86328125,1,"['207.171.166.22', '72.21.206.80', '72.21.210.29']"
1691070023.6754863,googleapis.com,277.25634765625,1,['142.251.129.228']
1691070023.9528496,apple.com,238.09521484375,1,['17.253.144.10']
1691070024.191076,youtube.com,267.684814453125,1,['142.251.128.78']
1691070024.4588747,akamaiedge.net,228.991943359375,1,[]
1691070024.6879814,netflix.com,219.8232421875,1,"['54.237.226.164', '3.230.129.93', '52.3.144.142']"
