Domain,Timestamp,Response Status,Response Time,Addresses
1691070056.8863304,google.com,292.40771484375,1,['142.250.79.46']
1691070057.179243,a-msedge.net,272.452880859375,1,[]
1691070057.4518204,facebook.com,220.9736328125,1,['31.13.90.35']
1691070057.6729007,microsoft.com,223.23193359375,1,"['20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.112.250.133']"
1691070057.8962467,amazonaws.com,177.48876953125,1,"['207.171.166.22', '72.21.210.29', '72.21.206.80']"
1691070058.073846,googleapis.com,194.491943359375,1,['142.250.79.4']
1691070058.2684724,apple.com,145.44091796875,1,['17.253.144.10']
1691070058.4140208,youtube.com,324.402099609375,1,['142.251.133.174']
1691070058.7385159,akamaiedge.net,341.547119140625,1,[]
1691070059.0801983,netflix.com,150.46875,1,"['3.225.92.8', '54.160.93.182', '3.211.157.115']"
