Domain,Timestamp,Response Status,Response Time,Addresses
1691070073.715471,google.com,410.332763671875,1,[<DNS IN A rdata: 142.250.219.238>]
1691070074.276176,a-msedge.net,358.433837890625,1,[]
1691070074.8100123,facebook.com,356.41015625,1,[<DNS IN A rdata: 31.13.85.36>]
1691070075.3868566,microsoft.com,406.72265625,1,[<DNS IN A rdata: 20.112.250.133>]
1691070076.1468337,amazonaws.com,333.41748046875,1,[<DNS IN A rdata: 72.21.210.29>]
1691070076.8033118,googleapis.com,598.871337890625,1,[<DNS IN A rdata: 142.251.129.132>]
1691070077.6046436,apple.com,411.476806640625,1,[<DNS IN A rdata: 17.253.144.10>]
1691070078.480697,youtube.com,668.62939453125,1,[<DNS IN A rdata: 142.251.128.78>]
1691070079.5135937,akamaiedge.net,570.029052734375,1,[]
1691070080.4772437,netflix.com,752.058349609375,1,[<DNS IN A rdata: 54.237.226.164>]
