Domain,Timestamp,Response Status,Response Time,Addresses
1691070089.211747,google.com,425.154541015625,1,[<DNS IN A rdata: 172.217.28.238>]
1691070089.8359704,a-msedge.net,354.504638671875,1,[]
1691070090.476918,facebook.com,382.5,1,[<DNS IN A rdata: 157.240.12.35>]
1691070091.0921888,microsoft.com,361.960205078125,1,[<DNS IN A rdata: 20.70.246.20>]
1691070091.6898346,amazonaws.com,595.533447265625,1,[<DNS IN A rdata: 207.171.166.22>]
1691070092.4975579,googleapis.com,572.86572265625,1,[<DNS IN A rdata: 142.251.128.36>]
1691070093.4576027,apple.com,292.225830078125,1,[<DNS IN A rdata: 17.253.144.10>]
1691070093.9775283,youtube.com,309.401123046875,1,[<DNS IN A rdata: 142.250.79.206>]
1691070094.439873,akamaiedge.net,249.019775390625,1,[]
1691070094.8114836,netflix.com,278.25537109375,1,[<DNS IN A rdata: 54.160.93.182>]
