Domain,Timestamp,Response Status,Response Time,Addresses
1691070095.3972254,google.com,783.759033203125,-1,[]
1691070096.5873938,a-msedge.net,862.01416015625,-1,[]
1691070097.925387,facebook.com,1014.922607421875,-1,[]
1691070099.0882556,microsoft.com,836.621826171875,-1,[]
1691070100.2022445,amazonaws.com,799.7880859375,-1,[]
1691070101.1706004,googleapis.com,705.796630859375,-1,[]
1691070102.1091428,apple.com,741.7509765625,-1,[]
1691070102.9876912,youtube.com,729.12744140625,-1,[]
1691070103.8410082,akamaiedge.net,1135.76708984375,-1,[]
1691070105.1703727,netflix.com,731.070068359375,-1,[]
